gene_id,ERR4198627,ERR4198629,ERR4198630,ERR4198632,ERR4198634,ERR4198636,ERR4198638,ERR4198640,ERR4198642
ENSG00000130939.20|UBE4B,9949,4343,4119,1843,2202,8037,1207,1689,2108
ENSG00000233623.2|PGAM1P11,5,5,2,1,1,13,0,7,3
ENSG00000054523.19|KIF1B,36990,16040,22372,10468,10600,65112,11904,24118,22580
ENSG00000199562.1|RNU6-37P,10,4,6,14,8,29,5,30,5
ENSG00000264501.2|RN7SL731P,7,1,1,1,1,3,1,1,1
ENSG00000271989.1|ENSG00000271989,10,10,5,9,1,15,1,5,0
ENSG00000175279.22|CENPS,891,405,563,178,175,573,77,127,142
ENSG00000241563.4|CORT,20,3,3,15,2,30,0,16,5
ENSG00000160049.12|DFFA,11450,6260,5556,2056,2010,6533,1079,1147,1664
ENSG00000203469.2|ENSG00000203469,1,1,1,1,1,1,0,1,1
ENSG00000142655.13|PEX14,2677,903,863,435,465,1682,239,293,325
ENSG00000243267.3|RN7SL614P,2,0,0,2,2,8,0,2,0
ENSG00000272078.1|ENSG00000272078,17,7,0,9,0,48,6,11,4
ENSG00000157330.10|C1orf158,4,15,13,8,25,81,57,41,38
ENSG00000162496.9|DHRS3,430,311,129,311,450,1681,550,160,494
ENSG00000276830.1|MIR6730,0,1,0,0,0,4,0,1,2
ENSG00000288927.1|ENSG00000288927,26,7,14,38,11,97,12,5,5
ENSG00000221340.1|RNU6ATAC18P,1,0,0,0,0,2,0,0,0
ENSG00000272482.1|ENSG00000272482,10,3,6,9,11,66,5,4,3
ENSG00000120952.4|PRAMEF2,0,0,0,0,0,0,0,0,0
ENSG00000243073.4|PRAMEF4,0,0,0,0,0,0,0,0,2
